Company,GICS Sector,Weight (%)
JB Hunt Transport Services Inc,Industrials,0.04
Ulta Beauty Inc,Consumer Discretionary,0.04
Willis Towers Watson PLC,Financials,0.04
Citizens Financial Group Inc,Financials,0.04
Cognizant Technology Solutions Corp,Information Technology,0.04
Biogen Inc,Health Care,0.04
Bunge Global SA,Consumer Staples,0.04
Tapestry Inc,Consumer Discretionary,0.04
Humana Inc,Health Care,0.04
Synchrony Financial,Financials,0.04
CMS Energy Corp,Utilities,0.04
IQVIA Holdings Inc,Health Care,0.04
Xylem Inc/NY,Industrials,0.04
Regions Financial Corp,Financials,0.04
Centene Corp,Health Care,0.04
CenterPoint Energy Inc,Utilities,0.04
SBA Communications Corp,Real Estate,0.04
Cincinnati Financial Corp,Financials,0.04
Rollins Inc,Industrials,0.04
Dow Inc,Materials,0.04
Kraft Heinz Co/The,Consumer Staples,0.04
Hubbell Inc,Industrials,0.04
NiSource Inc,Utilities,0.04
Verisk Analytics Inc,Industrials,0.04
Mettler-Toledo International Inc,Health Care,0.04
Equity Residential,Real Estate,0.04
Fair Isaac Corp,Information Technology,0.04
W R Berkley Corp,Financials,0.04
Ares Management Corp,Financials,0.04
Edison International,Utilities,0.04
Expand Energy Corp,Energy,0.04
LyondellBasell Industries NV,Materials,0.04
Fidelity National Information Services Inc,Financials,0.04
GE HealthCare Technologies Inc,Health Care,0.04
VeriSign Inc,Information Technology,0.04
Eversource Energy,Utilities,0.04
Fox Corp,Communication Services,0.04
FirstEnergy Corp,Utilities,0.04
Estee Lauder Cos Inc/The,Consumer Staples,0.04
Church & Dwight Co Inc,Consumer Staples,0.03
International Flavors & Fragrances Inc,Materials,0.03
Evergy Inc,Utilities,0.03
International Paper Co,Materials,0.03
Amcor PLC,Materials,0.03
Charter Communications Inc,Communication Services,0.03
STERIS PLC,Health Care,0.03
Moderna Inc,Health Care,0.03
Expeditors International of Washington Inc,Industrials,0.03
Southwest Airlines Co,Industrials,0.03
F5 Inc,Information Technology,0.03
Smurfit WestRock PLC,Materials,0.03
Snap-on Inc,Industrials,0.03
Loews Corp,Financials,0.03
Tractor Supply Co,Consumer Discretionary,0.03
Incyte Corp,Health Care,0.03
Textron Inc,Industrials,0.03
CH Robinson Worldwide Inc,Industrials,0.03
T Rowe Price Group Inc,Financials,0.03
CF Industries Holdings Inc,Materials,0.03
CDW Corp/DE,Information Technology,0.03
First Solar Inc,Information Technology,0.03
Fortive Corp,Industrials,0.03
Broadridge Financial Solutions Inc,Industrials,0.03
Viatris Inc,Health Care,0.03
DuPont de Nemours Inc,Materials,0.03
Weyerhaeuser Co,Real Estate,0.03
Brown & Brown Inc,Financials,0.03
Equifax Inc,Industrials,0.03
Albemarle Corp,Materials,0.03
Darden Restaurants Inc,Consumer Discretionary,0.03
Lennar Corp,Consumer Discretionary,0.03
Global Payments Inc,Financials,0.03
West Pharmaceutical Services Inc,Health Care,0.03
Packaging Corp of America,Materials,0.03
Principal Financial Group Inc,Financials,0.03
Leidos Holdings Inc,Industrials,0.03
Veralto Corp,Industrials,0.03
Dollar Tree Inc,Consumer Staples,0.03
General Mills Inc,Consumer Staples,0.03
Omnicom Group Inc,Communication Services,0.03
Labcorp Holdings Inc,Health Care,0.03
HP Inc,Information Technology,0.03
Tyson Foods Inc,Consumer Staples,0.03
Alliant Energy Corp,Utilities,0.03
Lennox International Inc,Industrials,0.03
Essex Property Trust Inc,Real Estate,0.03
NVR Inc,Consumer Discretionary,0.03
NetApp Inc,Information Technology,0.03
Invitation Homes Inc,Real Estate,0.03
Ralph Lauren Corp,Consumer Discretionary,0.03
Corpay Inc,Financials,0.03
PulteGroup Inc,Consumer Discretionary,0.03
Quest Diagnostics Inc,Health Care,0.03
Williams-Sonoma Inc,Consumer Discretionary,0.03
Akamai Technologies Inc,Information Technology,0.02
AES Corp/The,Utilities,0.02
Tyler Technologies Inc,Information Technology,0.02
Assurant Inc,Financials,0.02
Wynn Resorts Ltd,Consumer Discretionary,0.02
Allegion plc,Industrials,0.02
Align Technology Inc,Health Care,0.02
Universal Health Services Inc,Health Care,0.02
Zimmer Biomet Holdings Inc,Health Care,0.02
Zebra Technologies Corp,Information Technology,0.02
Avery Dennison Corp,Materials,0.02
Trade Desk Inc/The,Communication Services,0.02
