Rank,Symbol,Security,Company,GICS Sector,Weight (%)
258,ON,ON Semiconductor,ON Semiconductor Corp,Information Technology,0.06
259,EME,Emcor,EMCOR Group Inc,Industrials,0.06
260,TTWO,Take-Two Interactive,Take-Two Interactive Software Inc,Communication Services,0.06
261,PEG,Public Service Enterprise Group,Public Service Enterprise Group Inc,Utilities,0.06
262,KDP,Keurig Dr Pepper,Keurig Dr Pepper Inc,Consumer Staples,0.06
263,CCI,Crown Castle,Crown Castle Inc,Real Estate,0.06
264,VMC,Vulcan Materials Company,Vulcan Materials Co,Materials,0.06
265,WEC,WEC Energy Group,WEC Energy Group Inc,Utilities,0.06
266,HPE,Hewlett Packard Enterprise,Hewlett Packard Enterprise Co,Information Technology,0.06
267,IRM,Iron Mountain,Iron Mountain Inc,Real Estate,0.06
268,HIG,Hartford (The),Hartford Insurance Group Inc/The,Financials,0.06
269,LYV,Live Nation Entertainment,Live Nation Entertainment Inc,Communication Services,0.06
270,MLM,Martin Marietta Materials,Martin Marietta Materials Inc,Materials,0.06
271,HSY,Hershey Company (The),Hershey Co/The,Consumer Staples,0.06
272,CCL,Carnival,Carnival Corp,Consumer Discretionary,0.06
273,EQT,EQT Corporation,EQT Corp,Energy,0.06
274,ROP,Roper Technologies,Roper Technologies Inc,Information Technology,0.06
275,PCG,PG&E Corporation,PG&E Corp,Utilities,0.06
276,JBL,Jabil,Jabil Inc,Information Technology,0.06
277,ADM,Archer Daniels Midland,Archer-Daniels-Midland Co,Consumer Staples,0.05
278,IBKR,Interactive Brokers,Interactive Brokers Group Inc,Financials,0.05
279,LVS,Las Vegas Sands,Las Vegas Sands Corp,Consumer Discretionary,0.05
280,SATS,EchoStar,EchoStar,Communication Services,0.05
281,SYY,Sysco,Sysco Corp,Consumer Staples,0.05
282,HAL,Halliburton,Halliburton Co,Energy,0.05
283,PRU,Prudential Financial,Prudential Financial Inc,Financials,0.05
284,CBOE,Cboe Global Markets,Cboe Global Markets Inc,Financials,0.05
285,HBAN,Huntington Bancshares,Huntington Bancshares Inc/OH,Financials,0.05
286,KVUE,Kenvue,Kenvue Inc,Consumer Staples,0.05
287,PAYX,Paychex,Paychex Inc,Industrials,0.05
288,ACGL,Arch Capital Group,Arch Capital Group Ltd,Financials,0.05
